contents	keywords
When Naruto reaches the Second Division's location he starts identifying and defeating the disguised Zetsus, including three that attempt to attack Hinata. Although Neji is suspicious that Naruto may also be a White Zetsu, Hinata insists it's the real Naruto, which she can tell by looking in his eyes.	Naruto
Hinata apologises to Naruto for the suspicion he's receiving and regrets that he is still needing to save her when she's the one trying to fight for him. Naruto reassures her that she's strong enough to look after herself; he's merely returning the favour for all the times in the past she's helped him.	Naruto
"She silently thanks him as he leaves. Main article: Fourth Shinobi World War: Climax
 Hinata preparing to sacrifice her life to shield Naruto."	Naruto, Shinobi
Hinata and the rest of the Allied Shinobi Forces are sent to assist Naruto in his battle with the Ten-Tails. Recognising how crucial Naruto is to the war's victory, Hinata, Neji, and Hiashi join forces to block attacks directed at him.	Naruto, Shinobi, Ten-tail
Neji and Hiashi quickly become preoccupied protecting other Allies from the Ten-Tails too, leaving only Hinata to defend Naruto. The Ten-Tails fires several volleys of wood projectiles at him, which Hinata uses her body to defend him from.	Naruto, Ten-tail
Neji in turn uses his body to defend her and is mortally wounded because of it. Watching Hinata crying for him as he dies, Neji observes that Hinata was willing to die for Naruto, which he uses as evidence that Naruto is responsible for more lives than his own.	Naruto
He then dies from his injuries. Naruto shares Kurama's chakra with Hinata.	Naruto, Chakra
Naruto is disheartened by the deaths of Neji and others in the Alliance. When he starts to show signs of giving up, Hinata brings him back senses by reminding him of his vow to not let any of his friends die.	Naruto
Although Neji may be dead, he will live on so long as others continue the fight that he gave his life for. Therefore, Naruto must stay true to the creed he has been using for so long and that she has long since adopted for herself: to not give up.	Naruto
Naruto's resolve is renewed and he thanks her for standing by his side. He then takes her hand and transfers some chakra to her, giving her a version 1-like shroud that protects her and augments her attacks against the Ten-Tails.	Naruto, Chakra, Ten-tail
As Naruto leads the Alliance's attacks against the Ten-Tails, his arm becomes dislocated. Hinata sets it back in place, allowing him to remove the Ten-Tails from the control of Madara and Obito Uchiha.	Naruto, Ten-tail
The extended fighting eventually starts to tire Naruto out, so Hinata rallies a defence around him while Sakura Haruno heals him. She later joins Team 8's attack on the Ten-Tails' clones: she starts performing the Eight Trigrams Sixty-Four Palms on a Ten-Tails mini-clone, but stumbles midway and fears she may not be able to complete it.	Naruto, Ten-tail, Sakura
By thinking of Neji and Naruto, she finds the resolve to follow through to its end and defeats the clone. She then prepares to use her Gentle Step Twin Lion Fists.	Naruto
"Main article: Birth of the Ten-Tails' Jinchūriki
 The Konoha chūnin attack Obito with Naruto's Rasengan. When the Ten-Tails suddenly disappears from the battlefield, Sakura asks what Hinata saw with her Byakugan."	Naruto, Byakugan, Konoha, Ten-tail, Sakura, Konoha
Hinata explains that she saw the Ten-Tails being absorbed into Obito, meaning he has become its jinchūriki. Because of the abilities this grants Obito, Hinata and most of the rest of the Alliance stand no chance against him and must leave the fighting to others such as Naruto and Sasuke.	Naruto, Sasuke, Ten-tail
But Hinata remains alert for opportunities to contribute and pitches in when they emerge, first by joining the rest of the Konoha 11 in hitting Obito with one of Naruto's Rasengan, and then by assisting the rest of the Alliance with pulling the tailed beasts' chakra from Obito's body. Hinata caught in the Infinite Tsukuyomi.	Naruto, Chakra, Konoha, Konoha
With Obito defeated, Naruto goes off to fight Madara, leaving the Allied Shinobi Forces to fight a final Zetsu. As they struggle against the Zetsu, Kiba senses Naruto's return to their battlefield and Hinata seeks him out with her Byakugan.	Naruto, Byakugan, Shinobi
She becomes horrified as she notices that his heartbeat is slowing and runs to him to provide assistance, but she collapses from exhaustion midway and can only plead Neji to help Naruto. When Madara cast the Infinite Tsukuyomi upon the world, Hinata alongside most people are immobilised by the genjutsu and restrained by the Ten-Tails' roots.	Naruto, Ten-tail
"Main article: Kaguya Ōtsutsuki Strikes
 Hinata and Naruto grieving at the mass funeral in Konoha. While trapped, Hinata dreams of sitting on a park bench with Naruto while they are watched in secret by Neji and Hanabi."	Naruto, Konoha, Konoha
Naruto and Sasuke eventually release the Infinite Tsukuyomi, freeing Hinata and the rest of the world and thus ending the Fourth Shinobi World War. They all return to Konoha to bury the dead from the war, with Team Kurenai and Naruto paying their respects at the mass funeral.	Naruto, Sasuke, Konoha, Shinobi, Konoha
"Main article: Kakashi Hiden: Lightning in the Icy Sky
Over a year after the end of the war, when Naruto starts spreading unsavoury rumours about Kakashi Hatake's relationship with Kahyō, Hinata is one of the many villagers to pretend to regard Kakashi with disgust. Kakashi hits Naruto when he discovers that Naruto is the source of these rumours, causing Hinata to actually regard Kakashi with disgust."	Naruto, Hiden
"Main article: The Last: Naruto the Movie
 Hinata knits Naruto's present. Two years after the war, as the Rinne Festival approaches, Hinata decides to confess her feelings for Naruto by knitting a scarf for him, a replacement for the one he gave her when they were children."	Naruto, Movie
Although she completes the scarf, Hinata struggles to bring herself to give it to him, and it is only at the encouragement of Sakura and Hanabi that Hinata finally approaches Naruto. Once she finds him at Ramen Ichiraku, Hinata is intimidated, first by Naruto's many other female admirers, and then by the fact that he is already wearing a scarf that he clearly cherishes.	Naruto, Sakura
Assuming she lost her chance to be with him, Hinata runs off. As she cries over the scarf alone, she is approached by Toneri Ōtsutsuki, who requests to be given the scarf instead.	other
He captures her with his puppets and they try escaping Konoha with her, but Naruto defeats the puppets and rescues her; the scarf she made is ripped in the battle. Hinata links with Naruto.	Naruto, Konoha, Konoha
In place of Hinata, Toneri is successfully able to kidnap Hanabi. Hinata requests to be added to the team sent to rescue her.	other
After leaving Konoha, Hinata is able to find Hanabi's trail using her Byakugan, which leads them to an underground passage. Shortly after entering the passageway, the team is trapped in a genjutsu that dredges up old memories.	Byakugan, Konoha, Konoha
While Hinata relives moments from her past that relate to Naruto, the scarf - which she's in the process of repairing - gets loose from her bag and wraps around Naruto, sharing her memories and corresponding feelings with him. Sakura is able to release them from the genjutsu and they start to continue ahead.	Naruto, Sakura
Hinata is held back by Toneri, who expresses his desire to marry her. He explains that he has taken Hanabi's Byakugan for himself in order to carry out Hamura Ōtsutsuki's decree to destroy the Earth, after which he can create a new world with Hinata's help.	Byakugan
Hinata refuses to cooperate and vows to save Hanabi on her own, to which Toneri observes that she doesn't know where Hanabi is. Naruto interrupts them and defeats Toneri, who turns out to only be another puppet.	Naruto
Toneri tells Hinata that he'll return later for her answer. Naruto and Hinata reunite with the rest of the team and exit the underground passage, arriving in what they later discover is the Moon's interior.	Naruto
They split up to explore the surrounding landscape, with Naruto spending more time with Hinata. He now displays a greater interest in her thoughts and well-being, pleasing Hinata and giving her greater resolve to complete the scarf.	Naruto
As she is about to confide in him what Toneri told her, the rest of the team locates them and asks Hinata to look at a crypt they've found. There, Hinata is confronted by another member of the Ōtsutsuki clan, who shows her visions of how to stop Toneri and who introduces her to Hamura himself, who asks her to save the Earth.	other
Naruto tells Hinata he loves her. Hinata does not share her visions with the others and starts diligently trying to complete the scarf.	Naruto
When they make camp later that night, Naruto confronts Hinata and assures her they will save Hanabi. He also tells her that he loves her, leaving her speechless.	Naruto
Rather, when Toneri comes for Hinata's answer, she gives the finished scarf to Naruto with her goodbyes and leaves with Toneri. When Naruto asks Hinata if it's a lie that she will marry Toneri, she reluctantly does not deny it.	Naruto
Upon seeing Naruto being hit by Toneri's attack, Toneri immediately put her to sleep. After she wakes up in Toneri's castle, Hinata checks on Hanabi to make sure she's alright and locates the Tenseigan that Toneri is using to control the Moon's movements against the Earth.	Naruto
She spends her time making yet another scarf, and when she has a chance she slips away to try to destroy the Tenseigan. She is found by Toneri's puppets and Toneri himself detains her.	other
Hinata tries to reason with Toneri that Hamura never wished to destroy earth, but he doesn't listen. After which Toneri destroys the new scarf, that is actually meant for Naruto, and places her under his control.	Naruto
"After being placed inside a picture frame, Hinata shed a tear over her regret about ""betraying"" Naruto. Hinata is forced to go through with a wedding ceremony, but as Toneri is about to kiss Hinata, Naruto interrupts the wedding."	Naruto
After Toneri leaves with her, Naruto is able to release her from Toneri's control, at which point she apologises to him for her earlier behaviour, though he states he already understands and forgives her. Toneri becomes distracted by his own awakening Tenseigan, allowing Hinata to escape with Naruto to the primary Tenseigan's location.	Naruto
Because she possesses Hamura's chakra, only Hinata is able to destroy it. However, she lacks the raw strength to do so, and must instead channel her chakra into Naruto so that they can destroy it together.	Naruto, Chakra
With the Tenseigan gone, the Moon's movements stop and the puppets that the rest of the team is elsewhere fighting are rendered inert. The team reunites with them, bringing along a rescued Hanabi and the remains of Hinata's scarf.	other
Even though it's in tatters, Naruto asks if he can have it anyway, which Hinata happily complies with. Naruto and Hinata share their first kiss.	Naruto
Toneri uses his own awakened Tenseigan to resume the Moon's movement towards the Earth. He then attacks them and captures Hinata, forcing her to watch as he tries to kill Naruto.	Naruto
Naruto ends up defeating him instead and Hinata, once freed, takes back Hanabi's eyes. Toneri tries to make one final attack and Naruto and Hinata prepare to face him together, but Toneri is knocked into space by the statue.	Naruto
Naruto saves him and Toneri gives up, allowing Hinata to tell him Hamura's true wishes: to protect the Earth, not to destroy it. Toneri is repentant and remains behind when they head home, vowing not to let the Moon endanger the Earth again.	Naruto
As they return through the same passage they used before, Hinata asks Naruto about the scarf he's been wearing. He tells her it was a gift from his mother, causing her embarrassment that she would be jealous.	Naruto
Upon hearing Naruto say that he wants to spend the rest of his life with her, Hinata sheds tears of joy. As the passageway disintegrates behind them, Naruto propels himself and Hinata back to the Earth, where they share their first kiss.	Naruto
"Main article: Sakura Hiden: Thoughts of Love, Riding Upon a Spring Breeze
After returning from the Moon as an official couple, the news of their relationship spread like wildfire, leading to former classmates and older ninja teasing them. Months later, Hinata and Naruto organised to go on their first date to Ramen Ichiraku, as they were both off duty for once."	Naruto, Sakura, Hiden, Ninja
Running into Sakura along the way, Hinata invited her to join them, but she declined. Later, the couple learned that she had been kidnapped by Kido Tsumiki, leading to them joining Kakashi in going to rescue her.	Sakura
"On finding Sakura, they discovered that she'd already defeated Kido, prompting them to congratulate her on her victory. Main articles: Konoha Hiden (novel) and Konoha Hiden (anime)
 Hinata and Naruto preparing to be wedded."	Naruto, Konoha, Sakura, Konoha, Hiden
In the weeks leading up to her wedding, Hinata was busy preparing for the wedding ceremony that was to be held at the Hokage Rock. On the day of the event in the waiting room, Hinata was unbearably happy standing next to the man she loved.	Kage
"As Hiashi and Hanabi entered the room, Hinata took Naruto's arm and held on tight, before the two got married. Main article: Sasuke Shinden: Book of Sunrise
When enemy ninja infiltrate Konoha, Hinata uses her Byakugan to locate the intruders and then neutralises them with her Gentle Fist."	Naruto, Byakugan, Sasuke, Konoha, Konoha, Shinden, Shinden, Ninja
Hinata and Naruto raising their children. Shortly after getting married, Hinata and Naruto had a son and two years later they had a daughter.	Naruto
On the day of Naruto's Hokage inauguration years later, Hinata volunteered to pick up his official Hokage haori with plans to meet him at the ceremony. When she arrived there, Naruto and their children have yet to arrive, leading to her returning home to find them.	Naruto, Kage
"There, she discovered Naruto unconscious with his tenketsu sealed, leaving Hinata confused about who could have done it. [55]
 Main article: Academy Entrance Arc
In the anime, on the day before the entrance ceremony for Boruto to attend the Academy, Hinata begins telling her children again about how her time in the Academy with Naruto was, only for Boruto show no interest as he already heard the story before."	Naruto, Academy Entrance Arc, Arc, Boruto
After Boruto's antics caused damage to the Hokage Rock, he was suspended for two weeks from the Academy, during which Hinata kept a close watch on him, making sure he didn't fall behind in his studies. When Boruto began seeing strange things that others couldn't, he asked Hinata about the Byakugan, which she explained to him.	Byakugan, Kage, Boruto
Later, after a troubling change in his behaviour, Boruto declared to his parents that he had awakened his Byakugan, shocking everyone. Hinata advised Boruto to go to Hiashi for better answers about his dōjutsu.	Byakugan, Boruto
Later, when she discovered that Boruto was skipping classes (thanks to a poorly written excuse from his classmate Mitsuki), Hinata quickly confronted her son. The following day, Hinata met with Shino and it was ultimately decided that Boruto would have to make up the time he missed with after-school classes.	Boruto
After Boruto left, Hinata talked more with Shino, apologising for the trouble Boruto was causing, noting that he wanted her husband's attention to the point where, like his father, Boruto wants to make a name for himself. Shino then convinced Hinata to talk to Naruto about Boruto's actions.	Naruto, Boruto
When Naruto came home late briefly for a change of clothing, the two spoke. Naruto expressed regret at not being a more attentive father, feeling that his lack of actual parenting growing up made him subpar as one himself, Hinata insisted that for all of Boruto's actions, deep down he understands Naruto's responsibilities as Hokage.	Naruto, Kage, Boruto
Later, Hinata made a big feast to welcome Mitsuki. Much to her joy, Naruto was also joining them for dinner as he finished work early.	Naruto
"However, as dinner was about to begin, learning from one of his dispersed clones, Naruto left to investigate a strange release of chakra spreading throughout the village. Main article: Naruto Gaiden: The Seventh Hokage and the Scarlet Spring
In the anime, when Himawari fell sick due to a fever, Boruto and Naruto argued about giving her rice porridge or hamburger steaks while Hinata was administering the medicine she picked up."	Naruto, Chakra, Kage, Boruto
When Hinata returned to the kitchen and saw this, she got angry and kicked both of them out of the house due to their noisiness. On the day of the Five Kage Summit in Konoha, Hinata and Himawari visit Neji's grave and places sunflowers on it, while assuring Himawari that he is happy with the flowers.	Konoha, Kage, Konoha
"Later, when Naruto is going to leave Konoha in order to investigate something with Sasuke, Hinata sends Boruto to deliver a lunch to him. Main articles: Naruto Shinden: Parent and Child Day and Parent and Child Day Arc
NOTE: In the anime, the events of this arc occur after the Mitsuki's Disappearance Arc."	Naruto, Sasuke, Konoha, Konoha, Shinden, Shinden, Mitsuki's Disappearance Arc, Arc, Boruto
Hinata watches Himawari sleep. When Konohagakure started an annual new holiday, Parent and Child Day, Hinata decided to spend it at her father's place while her kids stayed with Naruto.	Naruto, Konoha, Konoha
"At the end of the day, Himawari returned home with Naruto and Hinata affectionately watched over Himawari as she slept with the Shukaku doll that Naruto purchased for her snuggled in between them. Main article: School Trip Arc
In the anime, Hinata saw off Boruto as he joined his class for a field trip to Kirigakure, who promised Himawari he would bring her back a souvenir."	Naruto, School Trip Arc, Arc, Boruto
However, upon his return, Boruto had forgotten to bring her said souvenir. Hinata initially stayed quiet about it, even as Himawari was upset about this.	Boruto
When Boruto asked about Himawari's attitude, Hinata reminded Boruto of his promise. While Boruto sought to fake forgetting by getting her a Kiri gift, Hinata suggested he just come clean with Himawari.	Boruto
"Main article: Graduation Exams Arc
 Hinata attending Boruto's parent teacher interview. In the anime, as graduation exams for the ninja classes were nearing, Boruto was accompanied by Hinata for his interview on his goals for the future."	Graduation Exams Arc, Arc, Boruto, Ninja
Hinata was annoyed to learn that Boruto never considered his goals. Later, when Boruto asked her why she originally became a ninja, she said that it was practically an obligation back in the day, especially when coming from a noble ninja clan like the Hyūga.	Boruto, Ninja
"Main article: Genin Mission Arc
In the anime, as Boruto prepared for his first genin mission, Hinata saw him off and wished her son good luck. Main article: Byakuya Gang Arc
In the anime, when the Byakuya Gang acted in Konoha, Himawari asked Hinata if they were good or bad over dinner."	Konoha, Konoha, Genin Mission Arc, Arc, Boruto
Boruto thought they were bad, but Hinata said not all people are good or evil. The next day, Hinata watched Konoha citizens protesting in front of the Kaminarimon Company over the television.	Konoha, Konoha, Boruto
"Main articles: Boruto: Naruto the Movie and Versus Momoshiki Arc
In the anime, on the day of Boruto's birthday, Hinata and Himawari worked to prepare a party. While inviting different people, Hinata was sad to learn that Naruto was too busy to show up."	Naruto, Versus Momoshiki Arc, Arc, Boruto, Movie
Later that night, Naruto returned exhausted from work, to which Hinata helped him. While cleaning Naruto's office at home, Himawari discovers the jacket that Naruto used to wear, which Hinata smiles to see.	Naruto
Because it's Himawari's birthday, Hinata takes her out to buy food and decorations for the party later that night; they run into Boruto while they're out and he offers to carry his mother's bags. By the time they get home, they discover that Naruto is already there, having made a point to be home on time for the occasion.	Naruto, Boruto
When Naruto later starts carrying Himawari's cake to the table to be served, he suddenly disappears, being only a shadow clone. The cake falls on the floor, making Himawari sad and Boruto angry.	Naruto, Boruto
Hinata tries to convince Boruto that Naruto is doing the best that he can, but he leaves in anger and Hinata can only comfort Himawari. Sasuke later drops by looking for Naruto, so Hinata directs him to the Hokage office.	Naruto, Sasuke, Kage, Boruto
Sakura heals Hinata in the hospital. Boruto enters the Chūnin Exams being held in Konoha and advances to the final round matches.	Konoha, Sakura, Konoha, Boruto
While Hinata watches the fights with Himawari, Naruto approaches her and asks that she watch Boruto closely with her Byakugan. In doing so, she notices that he's using the Kote, a prohibited device that forces Naruto to disqualify him and leaves her disappointed in her son.	Naruto, Byakugan, Boruto
The stadium is then immediately attacked by Kinshiki and Momoshiki Ōtsutsuki, and Hinata evacuates with the other spectators. When she learns that Naruto has been captured by Kinshiki and Momoshiki, Hinata goes after them in an effort to rescue him and is badly injured.	Naruto
Sakura heals her, but when she's told that Boruto plans to join Sasuke's rescue effort, she forces herself up so that she can stop him from going. When she sees him wearing Naruto's old jacket, she is reminded of his father and decides to believe in Boruto just as she always believes in Naruto.	Naruto, Sasuke, Sakura, Boruto
"Naruto is eventually rescued and life in Konoha returns to normal. After having breakfast with her family, Hinata starts to repair the damage Boruto received to his own jacket, but he asks her not to, believing it looks ""cooler"" while damaged, much to her pleasant surprise."	Naruto, Konoha, Konoha, Boruto
"She and Himawari see Naruto and Boruto off at the front door, wishing them both luck with their respective days. Main article: Mitsuki's Disappearance Arc
When Konohagakure was put on lockdown after the apparent betrayal of Mitsuki, Boruto decided to leave the village in search of the truth, convincing Sarada to join him."	Naruto, Konoha, Konoha, Mitsuki's Disappearance Arc, Arc, Boruto
Hinata became deeply worried about her son and likewise apologised to Sakura for him involving Sarada. Sakura however insisted that both kids knew what penalties they would probably face with this action and was sure they would be fine, which comforted Hinata somewhat.	Sakura
"Upon Boruto's return home, an angry and relieved Hinata joined Himawari in hugging Boruto to welcome him home. Main article: One-Tail Escort Arc
In the anime, as Hinata was preparing a family camping trip, Boruto explained that he was going on a training mission with Team 7 (unaware that Boruto was really going to find Sasuke to train with him)."	Sasuke, One-Tail Escort Arc, Arc, Boruto
Later, Boruto returned to the village along with Naruto and the kettle-sealed Shukaku. With Urashiki Ōtsutsuki pursuing the tailed beast, it was decided that Naruto would safeguard Shukaku.	Naruto, Boruto
During which, Hinata allowed the children to watch over the tailed beast while she was happy to have extra time with her entire family. Later, when a more proper safehouse for Shukaku was prepared, Naruto proceeded to have the tailed beast moved to it.	Naruto
"Main article: Time Slip Arc
Later, Hinata watched as an eager Boruto quickly finished his breakfast in hopes to train more with Sasuke. Hinata noted that Boruto was just like Naruto at that age, always eager to train with his mentor Jiraiya."	Naruto, Sasuke, Arc, Boruto
Hinata then showed Himawari and Boruto a photo of the Sannin, who Himawari noted looked eccentric and wild. Hinata told her kids about Jiraiya's greatness as a ninja and how influential he was to Naruto, even becoming a father-figure.	Naruto, Boruto, Ninja
"Later that night, Hinata found Boruto looking through Naruto's belongings for the Icha Icha series, hoping to learn more about Jiraiya and the ""wisdom"" it gave. After glancing at a few pages and seeing its adult content, Hinata sternly forbade Boruto from reading the books, insisting that he was too young."	Naruto, Boruto
A young Hinata meets Boruto. Meanwhile, the grown-up Sasuke and Boruto were later sent back in time to shortly after Sasuke's defection.	Sasuke, Boruto
There, the two pretended to be travelling performers and were put under watch by Naruto. Past-Hinata met her future son, who despite her normal shy nature, felt calm and open to Boruto.	Naruto, Boruto
Later, she and her friends helped Boruto and Naruto clean up a bathhouse after the commotion Naruto and Jiraiya caused. Days later, after Sasuke and Boruto managed to kill Urashiki and end his terror, they decided to return to their time promptly to preserve the timeline.	Naruto, Sasuke, Boruto
To ensure that, Sasuke first used his Sharingan to erase the memories of everyone he and Boruto came in contact of the recent events. Back in the present, Hiashi's birthday was fast approaching, and it was suggested by Hanabi to throw a party for him.	Sasuke, Boruto
Hinata helped Himawari pick out a scarf for him as a present. At the party, Hinata joined her family in a group photo as suggested by Boruto.	Boruto
"Main article: Kara Actuation Arc
In the anime, Hinata was heartbroken when she heard her son was viciously defeated in battle by Deepa. As Boruto was operated on, she and Himawari watched in concern."	Arc, Boruto
Naruto soon arrived, equally concerned about his son. Upon seeing that he was stabilised, Naruto assured his family that Boruto was going to fine, much to Hinata's relief.	Naruto, Boruto
After Boruto was released from the hospital and began training under Kakashi Hatake to grow stronger, while her daughter was still concerned for Boruto, Hinata insisted that Boruto was a true ninja and desired to be of true aid to others. Instead, Hinata suggested that Himawari helped cheer Boruto on by helping her mother make a bento and deliver it to him.	Boruto, Ninja
In the following days, as Hinata continued to provide support for Boruto by bringing him lunches while training, she discovered that Sakura was growing concerned for Sarada's well-being in her own training, especially given the Uchiha's history with loss. Ino and Hinata decided to take Sakura out on a girl's night to talk.	Sakura, Boruto
They insisted that as mothers themselves, they too fear for their children's well-being, but they have to have faith that they are strong and can endure. Their words managed to cheer up Sakura.	Sakura
"Main article: Ao Arc
In the anime, Hinata attended the memorial service for the fallen people of the Fourth Shinobi World War, holding a portrait of Neji in his honour. Main article: Kawaki Arc
 Hinata welcomes Kawaki into her home."	Shinobi, Arc
When Boruto's team returned from their mission with a mysterious boy of unique abilities, rather than lock him up, Naruto, sympathising as a former man-made potential weapon, decided to treat the boy as a guest to the village and let him live at his home. During which, despite Hinata treating him with kindness like any other, the rebellious boy kept seeing everyone as his enemy.	Naruto, Boruto
He soon made his move to escape, only to be stopped by Naruto's brief show of power. When Boruto returned, he and the boy got into a confrontation over the latter's recent actions destroying Himawari‘s personal vase, which she made as a gift to Hinata.	Naruto, Boruto
As Himawari began cleaning up the broken pieces, the boy gruffly apologised for his unintentional mistake, introducing himself as Kawaki. Later, as Kawaki attempted to find a missing fragment of the vase, Naruto doubted he would be able to find it, as Hinata cleans the house everyday.	Naruto
"Hinata and Himawari left to shop for dinner just before Jigen appeared in their home. Main article: Chūnin Re-Examination Arc
In the anime, following Isshiki Ōtsutsuki's defeat, a personal Chūnin Exam for Konoha was set up."	Konoha, Konoha, Arc
Hinata cheered on her son during the events. By the end, Boruto failed to be promoted, but Hinata happily joined her family for dinner.	Boruto
"As Kawaki continued to show a distant nature, Hinata recognised Kawaki's efforts to open up to others, still struggling from his harsh upbringing and captivity under Kara. Main article: Great Sea Battle of Kirigakure Arc
In the anime, Hinata joined her family for a vacation to a hot spring inn won by Himawari in a raffle."	Arc
"She and Naruto beat Boruto and Kawaki at ping-pong with their superior team-work, Hinata in particular being an excellent player. Main article: Kawaki & Himawari Academy Arc
In the anime, Hinata was glad to hear that Himawari was having a good time in the Academy."	Naruto, Arc, Boruto
Later, she was surprised to learn that Himawari had not actually decided on becoming a shinobi, but rather saw the Academy as an opportunity to learn about herself and meet people. Hinata and Naruto were happy to see how maturely Himawari was taking her experiences.	Naruto, Shinobi
"Main article: Code's Assault Arc
 Hinata and her family welcome Kawaki with a feast. After Jigen, leader of Kara, was able to infiltrate Konoha and critically injured Naruto and Sasuke in an attempt to reclaim Kawaki, Hinata and her family were relieved when Naruto made a quick recovery."	Naruto, Sasuke, Konoha, Konoha, Arc, Code's Assault Arc
Later, following Isshiki's permanent death, they decided to throw a welcome dinner party for Kawaki, to show he was truly welcomed in the Uzumaki home. While Kawaki asked to throw away a box of old magazines, Hinata watched a movie with Naruto with emotion.	Naruto, Movie
Later, Boruto rushed in to alert his parents that Kawaki had evaded surveillance and left the village. When learning that Boruto and Kawaki were in trouble, Hinata was determined to help her husband in the rescue, only to be reminded that she needed to look after Himawari should the worst happen.	Boruto
"She reluctantly conceded, praying for all of them to return safely. Main article: Omnipotence Arc
When Boruto was called in for his first mission in a long time, Hinata cried, worried that this time he might not come back, despite his assurance he would return."	Arc, Omnipotence Arc, Boruto
After he left, Himawari told her she could help Boruto if she became a shinobi, and asked if it would make her worry more instead. Hinata slaps Kawaki.	Shinobi, Boruto
While preparing for dinner with Naruto, she wished that Boruto and Kawaki could join them, asking Naruto how long their mission could take. Having left the house, Kawaki joined them, wishing to talk to Naruto.	Naruto, Boruto
Kawaki told them how much Naruto meant to him, and how far he was willing to go to get rid of all Ōtsutsuki, Boruto included. Hinata was hurt by it and slapped Kawaki.	Naruto, Boruto
He conceded he might be insane for what he was willing to do, and sent them away with a rift to stop them from interfering, willing to bear their hate and welcoming them to kill him when he was done. Naruto and Hinata were kept in Daikokuten, suspended in time, unable to think, age, and requiring no air or sustenance.	Naruto
"Main article: Boruto's Return Arc
 Naruto and Hinata trapped in Kawaki's Dimension. Three years later, Kawaki visited the unconscious Hinata and Naruto."	Naruto, Arc, Boruto, Boruto's Return Arc
"Main article: Naruto Shippūden the Movie
As Team 7 heads to the Fifth Hokage's office, they cross paths with Hinata and Shino. Main article: Naruto Shippūden the Movie: Bonds
Following an attack on Konoha by the Land of the Sky, Naruto, Hinata, and Sakura are assigned to escort Amaru and Shinnō back to their village."	Naruto, Konoha, Kage, Sakura, Konoha, Movie
When they reach the village, they find it destroyed and Amaru, in her anguish, triggers a booby trap that. Shinnō saves Amaru, but is apparently badly wounded and seemingly dies, which Hinata confirms with her Byakugan.	Byakugan
The rest of them split up to investigate the area and Hinata is captured, imprisoned with the rest of the villagers. Amaru later finds them, frees them, and evacuates them to safety.	other
"Main article: Naruto Shippūden the Movie: The Will of Fire
When Naruto and Sakura go searching for the apparently missing-nin Kakashi, Hinata is part of a team organised to stop them and bring them back to Konoha. Although they do manage to find Naruto and Sakura, they are attacked by Hiruko's henchmen; the members of Team 8 end up fighting Ni and her chimera-dogs."	Naruto, Konoha, Sakura, Konoha, Arc, Movie
Although they defeat her, Ni fuses with her teammates, Ichi and San, into a massive flying beast. As the rest of the Konoha 11 distracts the beast, Hinata and Neji use their Gentle Fist to destroy it.	Konoha, Konoha
Hiruko repairs the beast, forcing the Konoha 11 to pool their attacks against it; Hinata and Neji's contribution is the Eight Trigrams Sixty-Four Palms. The beast and Hiruko are ultimately destroyed.	Konoha, Konoha
"Main article: Naruto the Movie: Blood Prison
Hinata is part of the team sent to the Blood Prison to rescue Naruto, who was wrongly imprisoned there. She becomes worried when he is impaled, and is accordingly relieved when he is rescued by Ryūzetsu."	Naruto, Movie
"Main article: Road to Ninja: Naruto the Movie
Hinata and the rest of the Konoha 11 fight off an attack by what seems to be the entire Akatsuki roster, but what are actually disguised parts of the White Zetsu Army. When Naruto and Sakura are sent to the Genjutsu World, they meet that world's Hinata: she is dressed provocatively and is more assertive and confident in herself."	Naruto, Konoha, Akatsuki, Sakura, Konoha, Movie, Ninja
"She is aggressively infatuated with the Genjutsu World's Naruto, to the point of threatening any girl who is with him; Sakura becomes frightened by Hinata's threat to kill her for ""flirting"" with Naruto. Hinata Hyūga is a playable character in the following video games:
 In later instalments of the Clash of Ninja series, Hinata is playable in an ""awakened"" form."	Naruto, Sakura, Ninja
In this form, her clothes are similar to what she wore during the Bikōchū Search Mission, though the form itself is not based on the events of that arc. Awakened Hinata has a personality similar to Neji's during the Chūnin Exams, arrogantly challenging opponents and boasting about the power of the main branch of the Hyūga clan.	Arc
While in this form, she is also able to use techniques such as Eight Trigrams Sixty-Four Palms and Eight Trigrams Palms Revolving Heaven. Most Clash of Ninja games require that this awakened Hinata be selected separately, but in Clash of Ninja Revolution 3, normal Hinata can transform into her in the middle of battle by activating her Byakugan.	Byakugan, Ninja
"A similar form appears in Ultimate Ninja 2, dubbed ""Byakugan Hinata"", with the main difference being she wears the traditional Hyūga attire. In several of the Ultimate Ninja Storm games, the team combination of Hinata and Naruto is titled ""Secret Lovers"" or ""Joined Hands""."	Naruto, Byakugan, Ninja
Hinata is featured in the online game, Fortnite, in her Part II outfit as a playable skin.	other
